Name,Gender,Location,Description
BAHARI,f,Swahili,"Means ""sea"" or ""ocean"" in Swahili."
BAHATI,f,Eastern African,"Means ""luck, good fortune"" in Swahili."
BAHIRU,m,"African, Ethiopian",Ethiopia
BAHRU,m,Amharic,"Means ""the sea"" in Amharic."
BAHTA,m,Tigrinya,Meaning unknown.
BAKAFFA,m,Eastern African,"Bakaffa (throne name Asma Sagad, later Masih Sagad Ge'ez መሲህ ሰገድ, ""to whom the anointed bows"") was nəgusä nägäst (May 18, 1721 – September 19, 1730) of Ethiopia, and a member of the Solomonic dynasty... [more]"
BAKARI,m,Swahili,"Means ""Hopeful"" in Swahili."
BALAHEGARU,m,Ethiopian,
BANJAW,m,Amharic,"Means ""by his side"" in Amharic."
BARAKI,m,Amharic,"Means ""one who blesses"" in Amharic."
BARKHAD,m,Somali,
BARNI,f,Somali,
BARRE,m,Somali,"A name that comes from the Somali word bare which means ""teacher."" Barre was the last name (meaning the first name of the grandfather of) Mohamed Siad Barre (Somali spelling: Maxamed Siyaad Barre). Siad Barre was the military ruler and president of Somali from 1969 until 1991."
BARUK,m,Ethiopian,Variant of BIRUK.
BASELEYOS,m,Amharic,Amharic form of Basileus.
BASHIIR,m,Somali,Somali form of BASHIR.
BATUULO,f,Somali,Somali form of BATUL.
BAXSAN,f,Somali,"Means ""escape"" in Somali."
BEDALU,m,Amharic,"Means ""by His victory"" in Amharic."
BEFEQADU,m,Amharic,"Means ""by His will"" in Amharic."
BEKELE,m,"Eastern African, Amharic","Means ""he germinated, he grew, he flourished"" in Amharic."
BEKELECH,f,Amharic,"Means ""she flourished"" in Amharic."
BELAYNEH,m,"Eastern African, Amharic","It is an Amharic expression, which means ""the new child is above all others"". From the Amharic elements በላይ (belay) meaning ""above"" and ነህ (Neh) means ""you"".... [more]"
BELAYNESH,f,"Eastern African, Amharic",Feminine form of BELAYNEH.
BELENDIA,m,Amharic,"Means ""say it out loud"" or ""do it right"" in Amharic."
BELETE,m,Ethiopian,Possibly derived from the surname BELETE.
BELIYU-WORK,f,Amharic,"Means ""especially gold"" in Amharic."
BENMET,m,Amharic,"Means ""in confidence, with trust"" in Amharic."
BERAKI,f,Amharic,
BEREKET,m,"Eastern African, Amharic","Means ""blessing, abundance, profusion"" in Amharic."
BEREKHET,m,Tigrinya,
BERUK,m,Ethiopian,Variant of BIRUK.
BESELOT,f,Amharic,"Means ""gained through prayer"" in Amharic."
BESHI,m,Amharic,"Means ""by thousands"" in Amharic."
BETAMI,f,Amharic,"Means ""lovely"" in Amharic."
BETELIHEM,f,Ethiopian,It is a Christian name derived from Bethlehem.
BETHLEHEM,f,"Judeo-Christian Legend, English (American, Rare), Biblical, Ethiopian (Rare), English (British)","From the two Hebrew words bayta ""house"" and lachem ""bread"". Bethlehem is the name of a Palestinian city. In the Bible, it is the place where Jesus was born."
BEYDAAN,f,Somali,"Somali feminine name taken directly from the ordinary vocabulary word for ""almond"", which is perhaps ultimately from Persian بادام (bâdâm) ""almond""."
BEYENE,m,Amharic,"Means ""he decreed"" in Amharic."
BEZA,f,Ethiopian,
BILAAL,m,"Gujarati, Indian, Somali",Variant of BILAL.
BILAN,f,Somali,
BILEN,f,Tigrinya,"Means ""beautiful"" in Tigrinya."
BILEN,f,Amharic,"Means ""iris"" in Amharic."
BILLAN,f,Somali,
BIRABIRO,f,Amharic,"Means ""butterfly"" in Amharic."
BIRITU,m,Amharic,"Means ""brave"" in Amharic."
BIRRU,m,Amharic,"Means ""the silver"" in Amharic."
BIRTUKAN,f,Ethiopian,
BIRUK,m,"Ethiopian, African","Transferred use of the surname BIRUK, after the footballer Shai Biruk."
BIT'A,f,Amharic,
BITANYA,f,Ethiopian,
BOL,m,Dinka,"Means ""twin"" in Dinka."
BOMANI,m,Yao,"Means ""warrior"" in Yao."
BONABANA,f,Tooro,
BONNYVENTURE,m,"English (Rare), Eastern African (Rare)",Variant of BONAVENTURE.
BORUK,m,Ethiopian,Variant of BIRUK.
BURHAAN,m,"Somali, Arabic","Means ""charisma"" in Somali and ""proof"" in Arabic."
BUSARA,f,Swahili,"Means ""wisdom"" in Swahili."
BUSEJE,f,Yao,"Means ""ask me"" in Yao."
BUSHEBI,m,Luhya,
BUUX,m,Somali,"Means ""full"" in Somali."
BWIRE,m,Eastern African,
CAA'ISHA,f,Somali (Rare),Somali variant of AISHA.
CABAAS,m,Somali,Somali form of ABBAS.
CABDI,m,Somali,Somali variant of ABDI.
CABDILLE,m,Somali,Somali form of ABDULLAH.
CABDIQAADIR,m,Somali,Somali form of ABD AL-QADIR.
CABDIRAXMAAN,m,Somali,Somali form of ABD AL-RAHMAN.
CABDIRISAAQ,m,Somali,Somali spelling of ABDUR RAZZAQ. This spelling is used in Somalia.
CABDUL,m,Somali,Somali form of ABDUL.
CABDULLAHI,m,Somali,Somali form of ABDULLAHI.
CABDULMAJIID,m,Somali,Somali form of ABD AL-MAJID.
CANAB,f,Somali,"Means ""grape"" in Somali."
CAWEYS,m,Somali,"Means ""night"" in Somali."
CAWIL,m,Somali,"A name that means ""replacement."" A family may give the name to a male whose father or older brother has died."
CAWO,f,Somali,"A name that comes from the Somali word cawo which means ""luck."" Outside of Somalia, Somalis may spell it as Awo."
CAYNAANSHE,m,Somali,"Means ""cotton"" in Somali."
CHALTU,f,"Eastern African, Oromo","Means ""being the best of the best"" in Oromo."
CHAN,m,Dinka,"Means ""male child in the first pair of twins"" in Dinka."
CHANIYA,f,Swahili,"Means ""wealthy"" in Swahili."
CHAUSIKI,f,Swahili,"Means ""born at night"" in Swahili."
CHEGE,m,Kikuyu,
CHEJA,f,Kaguru,"Means ""we came"" in Chikaguru."
CHERI,f,Amharic,"Means ""graceful"" in Amharic."
CHERNET,m,Amharic,"Means ""charity"" in Amharic."
CHERU,m,Amharic,"Means ""the benign one, the charitable one"" in Amharic."
CHEUSI,m,Swahili,"Means ""black"" in Swahili."
CHIGENDA,m,Kaguru,"Means ""let us go"" in Chikaguru."
CHILONGOLA,m,Kaguru,"Means ""first"" in Chikaguru."
CHIMOLA,m,Kaguru,"Means ""seizer, breaker of things"" in Chikaguru."
CHITEMO,m,Kaguru,"Means ""axe"" in Chikaguru."
CHIWA,f,Yao,"Means ""death"" in Yao."
CHUKI,f,Swahili,"Means ""born during a time of hatred"" in Swahili."
CIGAAL,m,Somali,"Means ""turban"" in Somali."
CIISE,m,Somali,Somali form of Isa.
CILMI,m,Somali,"A name that derives from the word cilmi which means ""knowledge"" or ""learning."""
COLOOW,m,Somali,
CREDONIA,f,Eastern African,Ugandan name
CUMAR,m,Somali,Somali form of Omar.
DAAHIR,m,Somali,Variant of DAHIR.
DAA'UUD,m,Somali,Somali form of DAVID.
DAGM,m,Amharic,"It's from Amharic language and Geez which is ancient ethiopian language which is dated 3000 years with Hebrew origins, it means Twice or repeated . Usually given when you look like your parents"
DAGMAWIT,f,"Eastern African, Amharic","Means ""again, the second"" in Amharic."
DAHIR,m,Somali,Somali form of TAHIR.
DAI,m,Swahili,"Means ""demand"" in Swahili."
DALILI,f,Swahili (Rare),"Means ""omen, symbol"" in Swahili."
DAMAMLI,f,Eastern African,beautiful vision
DAMMENECH,f,Amharic,"Means ""she was cloudy"" in Amharic."
DANIACHEW,m,Amharic,"Means ""arbitrate between them"" or ""you be the judge"" in Amharic."
DANIAT,f,Tigrinya,"Means ""judge"" in Tigrinya."
DATIVA,f,"Eastern African, Portuguese, Spanish, Filipino","Feminine form of Latin adjective datīvus meaning ""giving."" It is mostly used in Eastern Africa, mainly Tanzania, Rwanda and Uganda."
DATIVE,f,"French (African), Eastern African","French form of DATIVA, mostly used in Rwanda."
DEEQA,f,Somali,
DEFERE,m,Amharic,"Means ""he is brave"" in Amharic."
DEGAWAYNA,m,Somali,
DEGINET,m,Amharic,"Means ""goodness"" in Amharic."
DEGMO,f,Somali,"Means ""district"" in Somali."
DELNESAHU,m,Amharic,"Means ""I defeated"" in Amharic."
DEMERE,m,Ethiopian,
DEMETERIYA,f,Eastern African,Of unknown origin and meaning. ... [more]
DEMISSIE,m,Amharic,"Means ""destroyer"" in Amharic."
DENEKE,m,Amharic,"Means ""he is marvellous"" in Amharic."
DERARTU,f,Ethiopian,
DEREJE,m,"Eastern African, Amharic","Means ""to develop, to organise"" in Amharic."
DERESSA,m,"Eastern African, Amharic",Variant of DERESSE.
DERESSE,m,"Ethiopian, Amharic",Ethiopian name of unknown meaning.
DESITA,f,Amharic,"Means ""joy, happiness"" in Amharic."
DEUS,m,Eastern African,
DHIIRAAN,m,Somali,
DIIRIYE,m,Somali,
DIKAMELLESH,f,Amharic,"Means ""you have no weakness"" in Amharic."
DINKINESH,f,Amharic,"Means ""you are a marvel"" in Amharic."
DIRES,m,Amharic,"Means ""arrive!"" in Amharic."
DIRIC,m,Somali,"A name that comes from the Somali word diric which means ""bold; fearless or daring."" The name connotes courage or heroism. Outside of Somalia, a Somali person may spell the name as DIRI."
DULANI,m,Yao,"Means ""cutting"" in Yao."
DUMA,m,Swahili,"Means ""cheetah"" in Swahili.... [more]"
DUNIA,m,Swahili,"Neans ""world, earth,"" ultimately from Arabic dunyā (دُنْيَا) meaning ""world, kingdom, universe."""
EBONG,m,Luo,Uganda/Luo... [more]
EFREM,m,Amharic,Amharic form of EPHRAIM.
EGAL,m,Somali,"Variant spelling of CIGAAL, used outside of Somalia."
EJEGAYEHU,f,Ethiopian,
EJIGAYEHU,f,"Amharic, Ethiopian","Means ""I have seen a lot good/better"" in Amharic. This was the name of a famous singer Ejigayehu Shibabaw, better known as Gigi."
EJJEGAYYAHU,f,Amharic,"Means ""I have seen much"" in Amharic."
EKUNDU,m,Swahili,"Swahili masculine name meaning ""red""."
ELBETEL,f,Ethiopian,the house of god
ELIZABETI,f,Amharic,Amharic form of ELIZABETH.
ELLENI,f,Amharic,Amharic form of HELEN.
ELSABET,f,Amharic,Amharic form of ELIZABETH.
ELYAS,m,Amharic,Amharic form of ELIAS.
EMEBET,f,"Ethiopian, Amharic","Derived from Amharic ’əmäbēt ""royal lady"", this (former) honorific is nowadays used as a given name.... [more]"
EMIYA,f,Amharic,"Means ""bliss"" in Amharic."
ENDALKACHEW,m,Amharic,
ENKU,f,Amharic,"This feminine name means ""pearl"" in Amharic."
ENZI,f,Swahili,"Means ""powerful"" in Swahili."
ERMIAS,m,Ethiopian,This is the Ethiopian & Eritrean form of JEREMIAH
ʿESATO,f,"Eastern African, Amharic","Means ""fire"" in Amharic.... [more]"
ESITALA,f,Nyakyusa,Nyakyusa form of ESTHER.
ESSET-AB,f,Amharic,means gift of god or persetion of God.
ESTIFANOS,m,Amharic,Amharic form of STEPHEN.
ESTOMIHI,m,"Eastern African, Indonesian","The name is derived from the name of the sunday 50 days before easter. The Latin words Esto mihi are the first two words of Psalm 31:3 and mean ""Thou art to me""."
ETANA,f,Eastern African,"Means ""Strong One"" in Swahili."
EYASU,m,Amharic,Amharic form of JOSHUA.
EYOB,m,"Amharic, Ge'ez, Tigrinya",Ethiopian and Eritrean form of JOB.
FAADUMO,f,Somali,Somali form of FATIMA.
FAARAX,m,Somali,"An old Somali name, not to be confused with the Arabic name Farah."
FAARUUQ,m,Somali,Somali form of FAROOQ.
FADUMA,f,"Eastern African, Somali",Somali form of FATIMAH.
TESSAMA,m,Amharic,"Means ""he is famous"" in Amharic."
TESSEMA,m,Amharic,"Means ""he has been heard"" in Amharic."
TEWOLDE,m,Ethiopian,
TIGIST,f,Amharic,"Means ""patience"" in Ahmaric."
TIGISTI,f,Tigrinya,"Means ""patience"" in Tigrinya."
TIIFU,m,Ganda,Transferred use of the surname TIIFU.
TIKI,f,Ethiopian,
TIMNIT,f,"Ethiopian (Expatriate, ?), Eritrean",
TIRFI,f,"Amharic, Ethiopian",
TIRUNEH,m,Amharic,"Means ""you are good"" in Amharic."
TIRUNESH,f,Ethiopian,
TISA,m,Swahili,"Means ""nine"" in Swahili. It is often given to the ninth-born child."
TISSA,f,Somali,A gift from God
TIZAZU,m,Amharic,"Means ""His command"" in Amharic."
TIZITA,f,"Eastern African, Amharic, Ethiopian","Means ""memory"" in Amharic."
TOTIT,f,Amharic,"Means ""monkey"" in Amharic. It is used as a nickname in Ethiopia."
TSEDAY,f,Ethiopian,
TUERE,f,Swahili (Rare),"Means ""sacred"" in Swahili."
TUFANI,f,Swahili,"Means ""storm"" in Swahili."
TUKUFU,m,Swahili,"Means ""exalted"" in Swahili."
TUKUSWIGA,m,Nyakyusa,"Means ""we are surprised"" in Nyakyusa."
TUMAI,f,Eastern African,"Means ""hope"" in Swahili."
TUMAS,m,"Arabic, Somali",Arabic form of THOMAS.
TUMBOPILE,f,Nyakyusa,"Means ""let us love Him"" in Nyakyusa."
TUMWIMBILEGE,f,Nyakyusa,"Means ""let us sing for Him"" in Nyakyusa."
TUNGIBWAGA,m,Nyakyusa,"Means ""we should not forget"" in Nyakyusa."
UBAX,f,Somali,"Means ""flower"" or ""blossom"" in Somali."
UBENA,m,Eastern African,Probably derived from a place name in Tanzania.
UDEERA,f,Swahili,"Udeera was a baby born in the covenant of kings in africa she went through trials and tribulations growing up , stories told that god helped her throughout hard times and starvation.... [more]"
UGBAAD,f,Somali,Variant of UGBAD.
UGBAD,f,Somali,"The meaning is a ""Bouquet of Roses"". It is a new name, people used it as a very advanced language term of the meaning."
UHURU,m,Swahili,"Means ""freedom"" in Swahili."
UMANDE,f,Swahili,"Swahili feminine name meaning ""dew""."
UMOJA,f,Swahili,"Swahili feminine name meaning ""unity, harmony""."
UNDULE,m,Nyakyusa,"Means ""you help me"" in Nyakyusa."
UNETU,m,Amharic,"Means ""the truth"" in Amharic."
URGESSA,m,Ethiopian,
URSALA,f,Eastern African,Ugandan variant of URSULA.
USHINDI,m,Swahili,"Swahili masculine name meaning ""victory, triumph""."
USIKU,m,Swahili,"Swahili masculine name meaning ""night""."
USSEN,m,Amharic,Amharic form of HUSAYN.
WAABERI,m,Somali,"Means ""dawn"" in Somali."
WACUKA,f,Kikuyu,"Means ""cotton fabric one"" in Kikuyu."
WAGAYE,f,Amharic,"Means ""my sense of value"" or ""my price"" in Amharic."
WAITHERERO,f,Kikuyu,"Means ""of down river"" in Kikuyu."
WAKASHA,f,Eastern African (?),
WAKONTA,f,Eastern African,
WANGŨ,f,Kikuyu,"Means ""of firewood"" in Kikuyu."
WANHIJA,f,Kaguru,"Means ""they run off"" in Chikaguru."
WANJA,f,Kikuyu,"Means ""the one from outside"" in Kikuyu."
WANJĨRA,f,Kikuyu,"Means ""of the road"" in Kikuyu."
WANJIRU,f,Kikuyu,Njiru means black thus meaning one that comes from black or dark matter mainly in reference to skin colouration
WARI,m,Amharic,"Means ""midnight"" in Amharic."
WARIDI,f,Swahili,"Swahili feminine name meaning ""rose"", ultimately from the Arabic WARDA."
WARIGIA,f,Kikuyu,"Means ""the last one"" in Kikuyu."
WARIS,f,"African, Somali","Means ""desert flower"" in Somali."
WARSAME,m,Somali,"Means ""good news"", derived from Somali war meaning ""information, news"" and same ""good, positive""."
WARSAN,f,Somali,
WARŨGŨRŨ,f,Kikuyu,"Means ""the one from the west"" in Kikuyu."
WASEME,f,Swahili,"Means ""let them talk"" in Swahili."
WEHELIYE,m,Somali,"Means ""companion"" in Somali."
WEREDE,m,Amharic,"Means ""he descended"" in Amharic."
WERIK'I,f,"Eastern African, Amharic","Means ""gold"" in Amharic."
WETATI,f,Amharic,Means “youthful” in Amharic.
WETUKIS,m,Ethiopian,A Catholic saint who was a follower and disciple of the Apostles.
WIBI,f,Amharic,"Means ""elegant"" in Amharic."
WIDDINEH,m,Amharic,"Means ""you are dear"" in Amharic."
WIDI,f,Amharic,"Means ""precious"" in Amharic."
WIHA,f,Amharic,"Means ""water"" in Amharic."
WINTA,f,"Amharic, Tigrinya","Means ""desire, dream gift"" in Amharic and ""need"" in Tigrinya."
WODAJE,m,Amharic,"Means ""my friend"" in Amharic."
WONDIM,m,Amharic,"Means ""brother"" in Amharic."
WONDIMAGEGNENU,m,Amharic,"Means ""I have found a brother"" in Amharic."
WOUBISHET,m,Amharic,"Means ""beautiful young grain"" in Amharic."
WUBETE,f,"Ethiopian, African",
XAABSADE,m,Somali,"Means ""keeper"" in Somali."
XAADSAN,f,Somali,"Means ""cute"" in Somali."
XAAJI,m,Somali,Somali form of HAJI.
XALANE,m,Somali,
XALIIMO,f,Somali,Somali form of HALIMA.
XALWO,f,Somali,"Means ""sweet"" in Somali. It is the name of a Somali dessert."
XAMIID,m,Somali,.
XANAAN,f,Somali,Somali form of Hanan.
XAREED,m,Somali,"Means ""rain"" in Somali."
XASNA,f,Somali,Somali form of HASNA.
XIDIG,m,Somali,"Means ""star"" in Somali."
XIRSI,m,Somali,"This Somali name means ""safeguard."" The word xirsi also means ""safeguard."" The x in Somali is a voiceless pharyngeal fricative, a throaty sound that is not present in English. Somalis outside of Somalia may spell the name as HIRSI or HERSI."
XUSEEN,m,Somali,Somali form of HUSAYN.
YAASMIIN,f,Somali,Somali form of YASMIN.
FAHARI,m,Swahili,"Means ""fame, honour, splendour"" in Swahili."
YACOB,m,Ethiopian,Form of JACOB used in Ethiopia.
YACQUUB,m,Somali,A Somali form of YAQUB.
YAHYE,m,Somali,Somali form of YAHYA.
YAKOBO,m,Swahili,Swahili form of JACOB or JAMES.
YÄM'ATA,m,Eastern African,Ethiopian variant of ADIMATA.
YAR,f,Dinka,Refers to a specific kind of cow in Dinka.
YASHIMMABET,f,Amharic,"Means ""mistress of a thousand"" in Amharic."
FAHMO,f,Somali,"Means ""understanding"" in Somali directly from the Arabic root f-h-m (see FAHIM)."
FAISA,f,Swahili,"Swahili/Arabic, meaning successful/victorious"
FANTA,f,"African, Eastern African, Western African",Mande form of FATIMA.
FARAJA,f,Swahili,"Means ""consolation, comfort"" in Swahili."
FARDOWSA,f,Somali,Somali form of FIRDAUS.
FARHIYA,f,"Swahili, Somali",Variant transcription of FARIHA.
FARTUUN,f,Somali,
YASMIIN,f,Somali,Somali form of YASMIN.
YASO,f,"Eastern African, Central African",
YASOY,m,Eastern African,Potential variant of Youssou.
YAXYE,m,Somali,Somali form of YAHYA. This spelling is used in Somalia.
YAYEHIRAD,f,Amharic,"Means ""may whoever sees you tremble"" in Amharic."
YEALEM TSEHAY,f,Amharic,"Means ""sun of the world"" in Amharic."
YELMA,m,Amharic,"Means ""may he prosper"" in Amharic."
